sqft,sale_price ,sale_price_pred ,,,Error: A-B,,Absolute Value of Error: ABS(B-C),,Square of Error: F^2,,Absolute Values of Errors Divided by Actual Values: ABS((B-C)/B6,,,
2416,208500,215635.4687,,,-206084,,7135.4687,,42470615056,,0.034222871,,,
2240,181500,202432.1633,,,-179260,,20932.1633,,32134147600,,0.115328723,,,
2272,223500,204832.7643,,,-221228,,18667.2357,,48941827984,,0.083522307,,,
1933,140000,179401.3976,,,-138067,,39401.3976,,19062496489,,0.281438554,,Totals,
2853,250000,248418.6758,,,-247147,,1581.3242,,61081639609,,0.006325297,,Error,-261293188
2094,143000,191479.4213,,,-140906,,48479.4213,,19854500836,,0.339016932,,ABS Val Err,54660486.18
3063,307000,264172.6198,,,-303937,,42827.3802,,92377699969,,0.139502867,,Sq of Err,5.58444E+13
2949,200000,255620.4788,,,-197051,,55620.4788,,38829096601,,0.278102394,,Ab. Val of err /Act. ,323.2957272
1774,129900,167473.4115,,,-128126,,37573.4115,,16416271876,,0.289248741,,,
1928,118000,179026.3037,,,-116072,,61026.3037,,13472709184,,0.517172065,,n_Count(F2:F1461),1460
1946,129500,180376.6418,,,-127554,,50876.6418,,16270022916,,0.392869821,,,
3322,345000,283602.484,,,-341678,,61397.516,,1.16744E+11,,0.177963814,,,
1649,144000,158096.0639,,,-142351,,14096.0639,,20263807201,,0.097889333,,MAD: ABSValErr/n,37438.68916
1494,279500,146468.1529,,,-278006,,133031.8471,,77287336036,,0.475963675,,MSE: SQofErr/n,38249588483
1986,157000,183377.393,,,-155014,,26377.393,,24029340196,,0.168008873,,RMSE: SQRT of MSE,195575.0201
854,132000,98456.13326,,,-131146,,33543.86674,,17199273316,,0.254120203,,MAPE: Abs val of err div. act/n*100,22.14354296
1582,149000,153069.8056,,,-147418,,4069.8056,,21732066724,,0.027314132,,,
1296,90000,131614.4343,,,-88704,,41614.4343,,7868399616,,0.462382603,,,
1760,159000,166423.1485,,,-157240,,7423.1485,,24724417600,,0.046686469,,,
1843,139000,172649.7073,,,-137157,,33649.7073,,18812042649,,0.242084225,,,
2376,325300,212634.7174,,,-322924,,112665.2826,,1.0428E+11,,0.346342707,,,
1108,139400,117510.9035,,,-138292,,21889.0965,,19124677264,,0.157023648,,,
